2025-09-01 03:30:39 | INFO     | phase1_sync | 批次大小：500
2025-09-01 03:30:39 | INFO     | phase1_sync | ============================================================
2025-09-01 03:30:39 | INFO     | phase1_sync | 跨表搜索索引不存在，正在建立...
2025-09-01 03:30:39 | INFO     | phase1_sync | ============================================================
2025-09-01 03:30:39 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 03:30:39 | INFO     | phase1_sync | ============================================================
2025-09-01 03:30:39 | INFO     | phase1_sync | ✓ 跨表搜索索引已建立：erp-cross-search
2025-09-01 03:30:39 | INFO     | phase1_sync | 開始同步表：customers -> erp-customers
2025-09-01 03:30:39 | ERROR    | phase1_sync | 建立索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-customers
2025-09-01 03:30:39 | ERROR    | phase1_sync | 響應內容：{"error":{"root_cause":[{"type":"mapper_parsing_exception","reason":"Unknown parameter [boost] on mapper [city]"}],"type":"mapper_parsing_exception","reason":"Failed to parse mapping: Unknown parameter [boost] on mapper [city]","caused_by":{"type":"mapper_parsing_exception","reason":"Unknown parameter [boost] on mapper [city]"}},"status":400}
2025-09-01 03:30:39 | ERROR    | phase1_sync | 同步表 customers 失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-customers
2025-09-01 03:30:39 | ERROR    | phase1_sync | 同步循環發生錯誤：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-customers
Traceback (most recent call last):
  File "/app/scripts/phase1/main.py", line 375, in run
    count = self.sync_table(table_config)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/app/scripts/phase1/main.py", line 151, in sync_table
    self.es.create_index_if_not_exists(
  File "/app/scripts/phase1/es_indexer.py", line 149, in create_index_if_not_exists
    response.raise_for_status()
  File "/usr/local/lib/python3.11/site-packages/requests/models.py", line 1026, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-customers
2025-09-01 03:30:39 | INFO     | phase1_sync | 30 秒後重試...
2025-09-01 03:31:09 | INFO     | phase1_sync | 開始同步表：customers -> erp-customers
2025-09-01 03:31:09 | ERROR    | phase1_sync | 建立索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-customers
2025-09-01 03:31:09 | ERROR    | phase1_sync | 響應內容：{"error":{"root_cause":[{"type":"mapper_parsing_exception","reason":"Unknown parameter [boost] on mapper [city]"}],"type":"mapper_parsing_exception","reason":"Failed to parse mapping: Unknown parameter [boost] on mapper [city]","caused_by":{"type":"mapper_parsing_exception","reason":"Unknown parameter [boost] on mapper [city]"}},"status":400}
2025-09-01 03:31:09 | ERROR    | phase1_sync | 同步表 customers 失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-customers
2025-09-01 03:31:09 | ERROR    | phase1_sync | 同步循環發生錯誤：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-customers
Traceback (most recent call last):
  File "/app/scripts/phase1/main.py", line 375, in run
    count = self.sync_table(table_config)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/app/scripts/phase1/main.py", line 151, in sync_table
    self.es.create_index_if_not_exists(
  File "/app/scripts/phase1/es_indexer.py", line 149, in create_index_if_not_exists
    response.raise_for_status()
  File "/usr/local/lib/python3.11/site-packages/requests/models.py", line 1026, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-customers
2025-09-01 03:31:09 | INFO     | phase1_sync | 30 秒後重試...
2025-09-01 03:31:39 | INFO     | phase1_sync | 開始同步表：customers -> erp-customers
